schema_version,style_id,style_slug,color_id,color_name,color_name_normalized,dominant_hex,pattern_type,color_family,image_url,gallery_image_urls,product_url,brand_name,source_site,product_title,category,is_apparel,price_raw,price,currency,materials_raw_or_page_text,materials_snippet,scrape_status,audience,subcategory,sizes_available,waist_sizes,length,natural_fiber_percent,synthetic_fiber_percent,is_100pct_natural,is_loomi_approved,fiber_families,synthetic_fibers_present,care_level,description,fabric_breakdown_pretty,fabric_tags,occasion_tag,sku,color_code,fit_type,care_instructions,product_weight,country_of_origin,sustainability_tags,season,collection_name
3,adfd15b57a76,12-inch-notes-handmade-journals,adfd15b57a76-c978545ade9f,Spiral,Spiral,,Solid,Spiral,https://www.buddhapants.com/cdn/shop/products/5Q0A7922.jpg,https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-113226.jpg|https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-248783.jpg|https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-463773.jpg|https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-684890.jpg|https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-694297.jpg|https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-730001.jpg|https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-863677.jpg|https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-924104.jpg,https://www.buddhapants.com/products/12-inch-notes-handmade-journals,Buddha Pants,www.buddhapants.com,12 Inch Notes | Handmade,Accessories,False,$22.00,22.0,USD,"Each 12-Inch Note journal is a handmade, one-of-a-kind creation, selected at random to bring you a unique, personal touch.
Details
These blank journals are crafted from recycled album covers, re-imagined to give vintage music a new life. The vinyl may be a little warped, and the music may be from another era, but the vibrant album art is as striking as ever—now transformed into a journal as unique and comfortable as our Jean Harem Pants.
Touch the cover, take in the scent! You’re holding decades of music history, ready to keep your to-do’s, shopping lists, love letters, doodles, favorite quotes, and daily thoughts safe and sound.
Options:
Variety 3 Pack

Square 3.5"" x 3.5""
Journal 4"" x 5""
Notepad 4"" x 5""

Mini 2 Pack

Mini 3.5” x 2”

Spiral 2 Pack

3.5” x 2”

Check out how we made them: Watch here on Vimeo!
Handmade by the founders of Buddha Pants. 12inchnotes.com","Each 12-Inch Note journal is a handmade, one-of-a-kind creation, selected at random to bring you a unique, personal touch.
Details
These blank journals are crafted from recycled album covers, re-imagi",ok,Women,Accessories,XS|S|M|L|XL|0|2|4|6|8|10|12|14|16|18,,Tall,0,0,False,False,,,Easy Care,"12 Inch Notes | Handmade. Each 12-Inch Note journal is a handmade, one-of-a-kind creation, selected at random to bring you a unique, personal touch. Perfect addition to your accessories collection.",,,Work & Meetings,12inch-spiral,4d38a4e6b83e,Regular,,,,organic|recycled,Spring/Summer,
3,adfd15b57a76,12-inch-notes-handmade-journals,adfd15b57a76-d3d5b2e9cc26,Mini,Mini,,Solid,Mini,https://www.buddhapants.com/cdn/shop/products/5Q0A7922.jpg,https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-113226.jpg|https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-248783.jpg|https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-463773.jpg|https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-684890.jpg|https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-694297.jpg|https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-730001.jpg|https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-863677.jpg|https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-924104.jpg,https://www.buddhapants.com/products/12-inch-notes-handmade-journals,Buddha Pants,www.buddhapants.com,12 Inch Notes | Handmade,Accessories,False,$28.00,28.0,USD,"Each 12-Inch Note journal is a handmade, one-of-a-kind creation, selected at random to bring you a unique, personal touch.
Details
These blank journals are crafted from recycled album covers, re-imagined to give vintage music a new life. The vinyl may be a little warped, and the music may be from another era, but the vibrant album art is as striking as ever—now transformed into a journal as unique and comfortable as our Jean Harem Pants.
Touch the cover, take in the scent! You’re holding decades of music history, ready to keep your to-do’s, shopping lists, love letters, doodles, favorite quotes, and daily thoughts safe and sound.
Options:
Variety 3 Pack

Square 3.5"" x 3.5""
Journal 4"" x 5""
Notepad 4"" x 5""

Mini 2 Pack

Mini 3.5” x 2”

Spiral 2 Pack

3.5” x 2”

Check out how we made them: Watch here on Vimeo!
Handmade by the founders of Buddha Pants. 12inchnotes.com","Each 12-Inch Note journal is a handmade, one-of-a-kind creation, selected at random to bring you a unique, personal touch.
Details
These blank journals are crafted from recycled album covers, re-imagi",ok,Women,Accessories,XS|S|M|L|XL|0|2|4|6|8|10|12|14|16|18,,Tall,0,0,False,False,,,Easy Care,"12 Inch Notes | Handmade. Each 12-Inch Note journal is a handmade, one-of-a-kind creation, selected at random to bring you a unique, personal touch. Perfect addition to your accessories collection.",,,Work & Meetings,12inch-spiral,2f9c27c873cd,Regular,,,,organic|recycled,Spring/Summer,
3,adfd15b57a76,12-inch-notes-handmade-journals,adfd15b57a76-d0fa71ad6b40,Variety,Variety,,Solid,Variety,https://www.buddhapants.com/cdn/shop/products/5Q0A7922.jpg,https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-113226.jpg|https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-248783.jpg|https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-463773.jpg|https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-684890.jpg|https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-694297.jpg|https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-730001.jpg|https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-863677.jpg|https://www.buddhapants.com/cdn/shop/products/12-inch-notes-handmade-journals-by-12-notes-924104.jpg,https://www.buddhapants.com/products/12-inch-notes-handmade-journals,Buddha Pants,www.buddhapants.com,12 Inch Notes | Handmade,Accessories,False,$28.00,28.0,USD,"Each 12-Inch Note journal is a handmade, one-of-a-kind creation, selected at random to bring you a unique, personal touch.
Details
These blank journals are crafted from recycled album covers, re-imagined to give vintage music a new life. The vinyl may be a little warped, and the music may be from another era, but the vibrant album art is as striking as ever—now transformed into a journal as unique and comfortable as our Jean Harem Pants.
Touch the cover, take in the scent! You’re holding decades of music history, ready to keep your to-do’s, shopping lists, love letters, doodles, favorite quotes, and daily thoughts safe and sound.
Options:
Variety 3 Pack

Square 3.5"" x 3.5""
Journal 4"" x 5""
Notepad 4"" x 5""

Mini 2 Pack

Mini 3.5” x 2”

Spiral 2 Pack

3.5” x 2”

Check out how we made them: Watch here on Vimeo!
Handmade by the founders of Buddha Pants. 12inchnotes.com","Each 12-Inch Note journal is a handmade, one-of-a-kind creation, selected at random to bring you a unique, personal touch.
Details
These blank journals are crafted from recycled album covers, re-imagi",ok,Women,Accessories,XS|S|M|L|XL|0|2|4|6|8|10|12|14|16|18,,Tall,0,0,False,False,,,Easy Care,"12 Inch Notes | Handmade. Each 12-Inch Note journal is a handmade, one-of-a-kind creation, selected at random to bring you a unique, personal touch. Perfect addition to your accessories collection.",,,Work & Meetings,12inch-spiral,fcbbcf6c16c4,Regular,,,,organic|recycled,Spring/Summer,
3,488e61a4334a,big-sur-jogger-1,488e61a4334a-01d299cc5d6b,Black / Xs,Black,,Solid,Black,https://www.buddhapants.com/cdn/shop/files/Buddha_Pants_r1_04Q_8443_copy.jpg,,https://www.buddhapants.com/products/big-sur-jogger-1,Buddha Pants,www.buddhapants.com,Big Sur Jogger,Apparel,True,$108.00,108.0,USD,"The most comfortable pants you’ll ever own!
Introducing the New Big Sur Joggers
Your new go-to joggers, crafted from 100% bamboo cotton for an ultra-soft, breathable feel. Available in three playful colors, these joggers are designed for total comfort—you may never want to take them off.
One of our special Limited Release products – Order now before they’re gone!","The most comfortable pants you’ll ever own!
Introducing the New Big Sur Joggers
Your new go-to joggers, crafted from 100% bamboo cotton for an ultra-soft, breathable feel. Available in three playful c",ok,Women,Bottoms,XS|S|M|L|XL|0|2|4|6|8|10|12|14|16|18,,Tall,0,100.0,False,False,cotton,,Easy Care,"Big Sur Jogger. The most comfortable pants you’ll ever own!
Introducing the New Big Sur Joggers
Your new go-to joggers, crafted from 100% bamboo cotton for an ultra-soft, breathable feel. Perfect addition to your apparel collection.",100% bamboo cotton for an ultra-soft,COTTON,Off-Duty & Travel,BigSur-Black-XS,e49e5aa1f853,Regular,,,,organic,Spring/Summer,
3,488e61a4334a,big-sur-jogger-1,488e61a4334a-316c1a9ea0a3,Black / S,Black,,Solid,Black,https://www.buddhapants.com/cdn/shop/files/Buddha_Pants_r1_04Q_8443_copy.jpg,,https://www.buddhapants.com/products/big-sur-jogger-1,Buddha Pants,www.buddhapants.com,Big Sur Jogger,Apparel,True,$108.00,108.0,USD,"The most comfortable pants you’ll ever own!
Introducing the New Big Sur Joggers
Your new go-to joggers, crafted from 100% bamboo cotton for an ultra-soft, breathable feel. Available in three playful colors, these joggers are designed for total comfort—you may never want to take them off.
One of our special Limited Release products – Order now before they’re gone!","The most comfortable pants you’ll ever own!
Introducing the New Big Sur Joggers
Your new go-to joggers, crafted from 100% bamboo cotton for an ultra-soft, breathable feel. Available in three playful c",ok,Women,Bottoms,XS|S|M|L|XL|0|2|4|6|8|10|12|14|16|18,,Tall,0,100.0,False,False,cotton,,Easy Care,"Big Sur Jogger. The most comfortable pants you’ll ever own!
Introducing the New Big Sur Joggers
Your new go-to joggers, crafted from 100% bamboo cotton for an ultra-soft, breathable feel. Perfect addition to your apparel collection.",100% bamboo cotton for an ultra-soft,COTTON,Off-Duty & Travel,BigSur-Black-XS,be1e3eab5c70,Regular,,,,organic,Spring/Summer,
3,488e61a4334a,big-sur-jogger-1,488e61a4334a-4e43a6fab06e,Black / M,Black,,Solid,Black,https://www.buddhapants.com/cdn/shop/files/Buddha_Pants_r1_04Q_8443_copy.jpg,,https://www.buddhapants.com/products/big-sur-jogger-1,Buddha Pants,www.buddhapants.com,Big Sur Jogger,Apparel,True,$108.00,108.0,USD,"The most comfortable pants you’ll ever own!
Introducing the New Big Sur Joggers
Your new go-to joggers, crafted from 100% bamboo cotton for an ultra-soft, breathable feel. Available in three playful colors, these joggers are designed for total comfort—you may never want to take them off.
One of our special Limited Release products – Order now before they’re gone!","The most comfortable pants you’ll ever own!
Introducing the New Big Sur Joggers
Your new go-to joggers, crafted from 100% bamboo cotton for an ultra-soft, breathable feel. Available in three playful c",ok,Women,Bottoms,XS|S|M|L|XL|0|2|4|6|8|10|12|14|16|18,,Tall,0,100.0,False,False,cotton,,Easy Care,"Big Sur Jogger. The most comfortable pants you’ll ever own!
Introducing the New Big Sur Joggers
Your new go-to joggers, crafted from 100% bamboo cotton for an ultra-soft, breathable feel. Perfect addition to your apparel collection.",100% bamboo cotton for an ultra-soft,COTTON,Off-Duty & Travel,BigSur-Black-XS,fb9d03aa2725,Regular,,,,organic,Spring/Summer,
3,488e61a4334a,big-sur-jogger-1,488e61a4334a-60b6f506d81d,Black / L,Black,,Solid,Black,https://www.buddhapants.com/cdn/shop/files/Buddha_Pants_r1_04Q_8443_copy.jpg,,https://www.buddhapants.com/products/big-sur-jogger-1,Buddha Pants,www.buddhapants.com,Big Sur Jogger,Apparel,True,$108.00,108.0,USD,"The most comfortable pants you’ll ever own!
Introducing the New Big Sur Joggers
Your new go-to joggers, crafted from 100% bamboo cotton for an ultra-soft, breathable feel. Available in three playful colors, these joggers are designed for total comfort—you may never want to take them off.
One of our special Limited Release products – Order now before they’re gone!","The most comfortable pants you’ll ever own!
Introducing the New Big Sur Joggers
Your new go-to joggers, crafted from 100% bamboo cotton for an ultra-soft, breathable feel. Available in three playful c",ok,Women,Bottoms,XS|S|M|L|XL|0|2|4|6|8|10|12|14|16|18,,Tall,0,100.0,False,False,cotton,,Easy Care,"Big Sur Jogger. The most comfortable pants you’ll ever own!
Introducing the New Big Sur Joggers
Your new go-to joggers, crafted from 100% bamboo cotton for an ultra-soft, breathable feel. Perfect addition to your apparel collection.",100% bamboo cotton for an ultra-soft,COTTON,Off-Duty & Travel,BigSur-Black-XS,fbb217a530a1,Regular,,,,organic,Spring/Summer,
3,488e61a4334a,big-sur-jogger-1,488e61a4334a-3b8cf5e755f8,Black / Xl,Black,,Solid,Black,https://www.buddhapants.com/cdn/shop/files/Buddha_Pants_r1_04Q_8443_copy.jpg,,https://www.buddhapants.com/products/big-sur-jogger-1,Buddha Pants,www.buddhapants.com,Big Sur Jogger,Apparel,True,$108.00,108.0,USD,"The most comfortable pants you’ll ever own!
Introducing the New Big Sur Joggers
Your new go-to joggers, crafted from 100% bamboo cotton for an ultra-soft, breathable feel. Available in three playful colors, these joggers are designed for total comfort—you may never want to take them off.
One of our special Limited Release products – Order now before they’re gone!","The most comfortable pants you’ll ever own!
Introducing the New Big Sur Joggers
Your new go-to joggers, crafted from 100% bamboo cotton for an ultra-soft, breathable feel. Available in three playful c",ok,Women,Bottoms,XS|S|M|L|XL|0|2|4|6|8|10|12|14|16|18,,Tall,0,100.0,False,False,cotton,,Easy Care,"Big Sur Jogger. The most comfortable pants you’ll ever own!
Introducing the New Big Sur Joggers
Your new go-to joggers, crafted from 100% bamboo cotton for an ultra-soft, breathable feel. Perfect addition to your apparel collection.",100% bamboo cotton for an ultra-soft,COTTON,Off-Duty & Travel,BigSur-Black-XS,db3480f7d1ba,Regular,,,,organic,Spring/Summer,
3,488e61a4334a,big-sur-jogger-1,488e61a4334a-090efe864b67,Ash / Xs,Ash / Xs,,Solid,Ash / Xs,https://www.buddhapants.com/cdn/shop/files/Buddha_Pants_r1_04Q_8443_copy.jpg,,https://www.buddhapants.com/products/big-sur-jogger-1,Buddha Pants,www.buddhapants.com,Big Sur Jogger,Apparel,True,$108.00,108.0,USD,"The most comfortable pants you’ll ever own!
Introducing the New Big Sur Joggers
Your new go-to joggers, crafted from 100% bamboo cotton for an ultra-soft, breathable feel. Available in three playful colors, these joggers are designed for total comfort—you may never want to take them off.
One of our special Limited Release products – Order now before they’re gone!","The most comfortable pants you’ll ever own!
Introducing the New Big Sur Joggers
Your new go-to joggers, crafted from 100% bamboo cotton for an ultra-soft, breathable feel. Available in three playful c",ok,Women,Bottoms,XS|S|M|L|XL|0|2|4|6|8|10|12|14|16|18,,Tall,0,100.0,False,False,cotton,,Easy Care,"Big Sur Jogger. The most comfortable pants you’ll ever own!
Introducing the New Big Sur Joggers
Your new go-to joggers, crafted from 100% bamboo cotton for an ultra-soft, breathable feel. Perfect addition to your apparel collection.",100% bamboo cotton for an ultra-soft,COTTON,Off-Duty & Travel,BigSur-Black-XS,041223b73faa,Regular,,,,organic,Spring/Summer,
3,488e61a4334a,big-sur-jogger-1,488e61a4334a-a76a56458a53,Ash / S,Ash / S,,Solid,Ash / S,https://www.buddhapants.com/cdn/shop/files/Buddha_Pants_r1_04Q_8443_copy.jpg,,https://www.buddhapants.com/products/big-sur-jogger-1,Buddha Pants,www.buddhapants.com,Big Sur Jogger,Apparel,True,$108.00,108.0,USD,"The most comfortable pants you’ll ever own!
Introducing the New Big Sur Joggers
Your new go-to joggers, crafted from 100% bamboo cotton for an ultra-soft, breathable feel. Available in three playful colors, these joggers are designed for total comfort—you may never want to take them off.
One of our special Limited Release products – Order now before they’re gone!","The most comfortable pants you’ll ever own!
Introducing the New Big Sur Joggers
Your new go-to joggers, crafted from 100% bamboo cotton for an ultra-soft, breathable feel. Available in three playful c",ok,Women,Bottoms,XS|S|M|L|XL|0|2|4|6|8|10|12|14|16|18,,Tall,0,100.0,False,False,cotton,,Easy Care,"Big Sur Jogger. The most comfortable pants you’ll ever own!
Introducing the New Big Sur Joggers
Your new go-to joggers, crafted from 100% bamboo cotton for an ultra-soft, breathable feel. Perfect addition to your apparel collection.",100% bamboo cotton for an ultra-soft,COTTON,Off-Duty & Travel,BigSur-Black-XS,b4649dbfdf4d,Regular,,,,organic,Spring/Summer,
